No.	Peak	Range (or island)	Location	"Coordinates
[1]"	Prominence (m)	Height (m)	Col (m)	Encirclement parent	Prominence parent
1	Mount Everest	Himalayas	 Nepal	27°59′17″N 86°55′30″E	8848.86	8848.86	0	None	None
2	Aconcagua	Andes	 Argentina	32°39′11″S 70°0′42″W	6960.8	6960.8	0	None	None
3	Denali / Mount McKinley*	Alaska Range	 United States	63°4′10″N 151°0′26″W	6155	6191	47	Aconcagua	Aconcagua
4	Mount Kilimanjaro*	Eastern Rift mountains	 Tanzania	3°4′0″S 37°21′33″E	5895	5895	0	Everest	Everest
5	Pico Cristóbal Colón	Sierra Nevada de Santa Marta	 Colombia	10°50′18″N 73°41′12″W	5509	5700	191	Aconcagua	Aconcagua
6	Mount Logan	Saint Elias Mountains	 Canada	60°34′2″N 140°24′10″W	5250	5959	709	Denali	Denali
7	Pico de Orizaba	Trans-Mexican Volcanic Belt	 Mexico	19°1′48″N 97°16′12″W	4922	5636	714	Mount Logan	Mount Logan
8	Vinson Massif	Sentinel Range	 Antarctica	78°31′32″S 85°37′2″W	4892	4892	0	None	None
9	Puncak Jaya	Sudirman Range, New Guinea	 Indonesia	4°5′S 137°11′E	4884	4884	0	None	None
10	Mount Elbrus	Caucasus Mountains	 Russia	43°21′9.144″N 42°26′16.350″E	4741	5642	901	Everest	Everest
11	Mont Blanc	Alps	" France
 Italy"	45°49′58″N 6°51′54″E	4695	4808	113	Everest	Everest
12	Mount Damavand	Alborz	 Iran	35°57′19″N 52°6′33″E	4667	5610	943	Mount Elbrus	Mount Elbrus
13	Klyuchevskaya Sopka	Kamchatka	 Russia	56°4′N 160°38′E	4649	4750	101	Everest	Everest
14	Nanga Parbat	Himalayas	 Pakistan	35°14′21″N 74°35′24″E	4608	8125	3517	Everest	Everest
15	Mauna Kea	Hawaii, Hawaiian Islands	 United States	19°49′14″N 155°28′5″W	4205	4205	0	None	None
16	Jengish Chokusu	Kakshaal Too	" China
 Kyrgyzstan"	42°2′5″N 80°7′43″E	4148	7439	3291	Everest	Everest
17	Bogda Peak	Bogda Shan	 China	43°48′6″N 88°20′6″E	4122	5445	1323	Everest	Everest
18	Chimborazo	Cordillera Occidental	 Ecuador	1°28′9″S 78°49′3″W	4118	6263	2145	Aconcagua	Aconcagua
19	Namcha Barwa	Himalayas	 China	29°37′50″N 95°3′19″E	4106	7782	3676	Everest	Everest
20	Mount Kinabalu	Crocker Range, Borneo	 Malaysia	6°4′30″N 116°33′31″E	4095	4095	0	None	None
21	Mount Rainier	Cascade Range	 United States	46°51′11″N 121°45′38″W	4029	4393	370	Denali	Orizaba
22	K2	Karakoram	" China
 Pakistan"	35°52′52″N 76°30′48″E	4020	8611	4594	Everest	Everest
23	Ras Dashen	Semien Mountains	 Ethiopia	13°14′12″N 38°22′21″E	3997	4550	553	Kilimanjaro	Kilimanjaro
24	Volcán Tajumulco	Sierra Madre de Chiapas	 Guatemala	15°2′N 91°54′W	3980	4220	240	Denali	Orizaba
25	Pico Bolívar	Sierra Nevada de Mérida	 Venezuela	8°32′27.1″N 71°2′47.4″W	3957	4981	1024	Aconcagua	Chimborazo
26	Mount Fairweather	Saint Elias Mountains	" Canada
 United States"	58°54′23″N 137°31′36″W	3946	4671	722	Mount Logan	Mount Logan
27	Yushan	Yushan Range	 Taiwan	23°28′12.00″N 120°57′26.16″E	3952	3952	0	None	None
28	Mount Stanley	Rwenzori Mountains	" DR Congo
 Uganda"	0°23′9″N 29°52′18″E	3951	5109	1158	Kilimanjaro	Kilimanjaro
29	Kanchenjunga	Himalayas	" India
 Nepal"	27°42′0.00″N 88°7′59.99″E	3922	8586	4664	Everest	Everest
30	Tirich Mir	Hindu Kush	 Pakistan	36°14′45″N 71°50′38″E	3908	7708	3800	Everest	K2
31	Mount Cameroon	Cameroon line	 Cameroon	4°13′0″N 9°10′21″E	3901	4040	139	Kilimanjaro	Stanley
32	Mount Kenya	Eastern Rift mountains	 Kenya	0°6′S 37°12′E	3825	5199	1374	Kilimanjaro	Kilimanjaro
33	Mount Kerinci	Barisan Mountains, Sumatra	 Indonesia	1°41′48.998″S 101°15′51.998″E	3805	3805	0	None	None
34	Mount Erebus	Ross Island	 Antarctica	77°32′S 167°17′E	3794	3794	0	None	None
35	Mount Fuji	Honshu	 Japan	35°21′38″N 138°43′39″E	3776	3776	0	None	None
36	Toubkal	Atlas Mountains	 Morocco	31°3′43″N 7°54′58″W	3757	4167	410	Kilimanjaro	Stanley
37	Cerro Chirripó	Cordillera de Talamanca	 Costa Rica	9°29′3″N 83°29′19″W	3727	3820	93	Aconcagua	Chimborazo
38	Mount Rinjani	Lombok, Lesser Sunda Islands	 Indonesia	8°25′0″S 116°28′0″E	3726	3726	0	None	None
39	Aoraki/Mount Cook	Southern Alps	 New Zealand	43°35′42″S 170°8′31″E	3724	3724	0	None	None
40	Teide	Tenerife	 Spain	28°16′21.5″N 16°38′37.0″W	3715	3715	0	None	None
41	Mount Boising	Finisterre Range	 Papua New Guinea	5°48′S 146°6′E	3709	4150	441	Puncak Jaya	Puncak Jaya
42	Monte San Valentin	Andes	 Chile	46°35′42″S 73°20′45″W	3696	4058	362	Aconcagua	Aconcagua
43	Gunnbjørn Fjeld	Watkins Range	 Greenland	68°55′10.20″N 29°53′54.72″W	3694	3694	0	None	None
44	Ojos del Salado	Andes	" Argentina
 Chile"	27°6′34″S 68°32′32″W	3688	6893	3205	Aconcagua	Aconcagua
45	Semeru	Java	 Indonesia	8°6′0″S 112°55′0″E	3676	3676	0	None	None
46	Ritacuba Blanco	Cordillera Oriental	 Colombia	6°29′39″N 72°17′51″W	3645	5410	1765	Aconcagua	Chimborazo
47	Mount Gongga	Daxue Mountains	 China	29°35′45″N 101°52′45″E	3642	7556	3914	Everest	K2
48	Mount Ararat	Armenian Highlands	 Turkey	39°42′0″N 44°18′0″E	3611	5137	1526	Damavand	Damavand
49	Kongur Tagh	Kongur Shan	 China	38°35′38″N 75°18′48″E	3585	7649	4064	Everest	K2
50	Mount Blackburn	Wrangell Mountains	 United States	61°43′54″N 143°25′59″W	3535	4996	1461	Mount Logan	Mount Logan
51	Mount Hayes	Alaska Range	 United States	63°37′15″N 146°42′54″W	3501	4216	715	Denali	Denali
52	Mount Latimojong	Sulawesi	 Indonesia	3°23′6″S 120°1′27″E	3478	3478	0	None	None
53	Mount Saint Elias	Saint Elias Mountains	" Canada
 United States"	60°17′36″N 140°55′46″W	3448	5489	2041	Mount Logan	Mount Logan
54	Ismoil Somoni Peak	Pamir Mountains	 Tajikistan	38°56′34″N 72°0′55″E	3402	7495	4093	Everest	K2
55	Dhaulagiri	Himalayas	 Nepal	28°41′48″N 83°29′24″E	3357	8167	4810	K2	K2
56	Mount Etna	Sicily	 Italy	37°45′3.00424″N 14°59′35.59304″E	3357	3357	0	None	None
57	Mercedario	Cordillera de la Ramada	 Argentina	31°58′44″S 70°6′46″W	3353	6720	3367	Aconcagua	Aconcagua
58	Lautaro	Andes	 Chile	49°1′8.4″S 73°30′14.4″W	3345	3623	278	Aconcagua	Aconcagua
59	Belukha Mountain	Altai Mountains	" Kazakhstan
 Russia"	49°48′25″N 86°35′23″E	3343	4506	1163	Everest	K2
60	Monte San Lorenzo	Andes	" Argentina
 Chile"	47°35′30″S 72°18′24″W	3319	3706	387	Aconcagua	Aconcagua
