Rank	Mountain peak	State	Mountain Range	Elevation	Prominence	Isolation	Location
1	Denali[5][6][a]	 Alaska	Alaska Range	"20,310 ft
6190.5 m"	"20,146 ft
6141 m"	"4,629 mi
7,450 km"	63.0690°N 151.0063°W
2	Mauna Kea[7][8][9][b][c]	 Hawaii	Island of Hawaiʻi	"13,803 ft
4207.3 m"	"13,803 ft
4207 m"	"2,453 mi
3,947 km"	19.8207°N 155.4681°W
3	Mount Rainier[10][11][d][e]	 Washington	Cascade Range	"14,417 ft
4394 m"	"13,210 ft
4026 m"	"731 mi
1,177 km"	46.8529°N 121.7604°W
4	"Mount Fairweather[12][13][f]
(Fairweather Mountain)"	" Alaska
 British Columbia"	Saint Elias Mountains	"15,325 ft
4671 m"	"12,995 ft
3961 m"	"124.4 mi
200 km"	58.9064°N 137.5265°W
5	Mount Blackburn[14][15][16][g]	 Alaska	Wrangell Mountains	"16,390 ft
4996 m"	"11,640 ft
3548 m"	"60.7 mi
97.6 km"	61.7305°N 143.4031°W
6	Mount Hayes[17][18][h][i]	 Alaska	Alaska Range	"13,832 ft
4216 m"	"11,507 ft
3507 m"	"125.5 mi
202 km"	63.6203°N 146.7178°W
7	Mount Saint Elias[19][20][j]	" Alaska
 Yukon"	Saint Elias Mountains	"18,009 ft
5489 m"	"11,250 ft
3429 m"	"25.6 mi
41.3 km"	60.2927°N 140.9307°W
8	Mount Marcus Baker[21][22][k]	 Alaska	Chugach Mountains	"13,176 ft
4016 m"	"10,751 ft
3277 m"	"126.3 mi
203 km"	61.4374°N 147.7525°W
9	Mount Whitney[23][24][25][l][m]	 California	Sierra Nevada	"14,505 ft
4421 m"	"10,080 ft
3072 m"	"1,646 mi
2,649 km"	36.5786°N 118.2920°W
10	Haleakalā[26][27][n]	 Hawaii	Island of Maui	"10,023 ft
3055 m"	"10,023 ft
3055 m"	"76.3 mi
122.9 km"	20.7097°N 156.2533°W
11	Mount Shasta[28][29][30][o]	 California	Cascade Range	"14,179 ft
4321.8 m"	"9,772 ft
2979 m"	"335 mi
539 km"	41.4092°N 122.1949°W
12	Shishaldin Volcano[31][32][p][q]	 Alaska	Unimak Island	"9,414 ft
2869 m"	"9,414 ft
2869 m"	"545 mi
877 km"	54.7554°N 163.9709°W
13	Redoubt Volcano[33][34][r][s]	 Alaska	Chigmit Mountains	"10,197 ft
3108 m"	"9,147 ft
2788 m"	"58.7 mi
94.5 km"	60.4854°N 152.7442°W
14	Mount Elbert[35][36][37][t]	 Colorado	Sawatch Range	"14,440 ft
4401.2 m"	"9,093 ft
2772 m"	"671 mi
1,079 km"	39.1178°N 106.4454°W
15	Mount Baker[38][39][u][v]	 Washington	Skagit Range	"10,787 ft
3288 m"	"8,845 ft
2696 m"	"131.5 mi
212 km"	48.7768°N 121.8145°W
16	Mount Torbert[40][41][w][x]	 Alaska	Alaska Range	"11,413 ft
3479 m"	"8,688 ft
2648 m"	"97.7 mi
157.3 km"	61.4086°N 152.4125°W
17	San Jacinto Peak[42][43][44][y]	 California	San Jacinto Mountains	"10,834 ft
3302.3 m"	"8,339 ft
2542 m"	"20.3 mi
32.7 km"	33.8147°N 116.6794°W
18	San Gorgonio Mountain[45][46][z][aa]	 California	San Bernardino Mountains	"11,503 ft
3506 m"	"8,294 ft
2528 m"	"162.5 mi
262 km"	34.0992°N 116.8249°W
19	"Charleston Peak[47][48][49][ab]
(Mount Charleston)"	 Nevada	Spring Mountains	"11,916 ft
3632 m"	"8,258 ft
2517 m"	"135.1 mi
218 km"	36.2716°N 115.6956°W
20	Mount Pavlof[50][51][ac]	 Alaska	Alaska Peninsula	"8,250 ft
2515 m"	"8,200 ft
2499 m"	"94.3 mi
151.8 km"	55.4173°N 161.8932°W
	Mount Veniaminof[52][53][ad]	 Alaska	Alaska Peninsula	"8,225 ft
2507 m"	"8,200 ft
2499 m"	"209 mi
337 km"	56.2194°N 159.2975°W
