state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
Tibet,Mount Everest,8849,8568,6468,27.9880555555556,86.925,86.0280718013503,28.776177495023,87.2185046893156,27.8290604766932
Jammu-Kashmir,K2,8611,5663,4317,35.8811111111111,76.5133333333333,76.4153100315812,35.6681470375732,76.4566166156087,35.825895873506
Nepal,Kanchenjunga,8586,8206,6513,27.7,88.1333305555555,87.2377137455416,28.489446348291,87.2377137455416,28.489446348291
Nepal,Kangchenjunga,8586,8208,6513,27.7027777777778,88.1475,88.2795069604507,27.4054109931692,87.2518597495825,28.4922234668986
Nepal,Dhaulagiri,8167,7485,6788,28.6966666666667,83.49,82.6680027594011,29.4134966237389,83.5664236934182,28.6016799834079
Nepal,Manaslu,8163,7861,7157,28.55,84.5597222222222,83.6601040429646,29.3353852209311,83.6601040429646,29.3353852209311
Jammu-Kashmir,Nanga Parbat,8125,7153,7063,35.2391666666667,74.59,74.2354360010458,35.3854330723569,73.6616422223957,35.9907967951778
Nepal,Annapurna,8091,6749,5709,28.5961111111111,83.8238888888889,83.0022718295897,29.3148542440525,83.4398924360933,28.5837052059654
Tibet,Shishapangma,8027,7415,4457,28.3522222222222,85.7797222222222,84.8808940106951,29.1390922923738,85.4362950390514,28.2077348467205
Jammu-Kashmir,Disteghil Sar,7885,6076,5226,36.3258333333333,75.1880555555556,74.9428154552875,36.1311490090262,74.2595607629017,37.0672797817786
Uttaranchal,Nanda Devi,7816,7087,5222,30.3738888888889,79.9708333333333,79.1647191690285,31.0665550910276,79.7403757064191,30.2276885461226
Jammu-Kashmir,Batura Sar,7795,6322,5549,36.51,74.5225,73.5860595656495,37.2558605632905,74.6414295674602,36.3538136214182
Jammu-Kashmir,Rakaposhi,7788,6580,6346,36.1425,74.4891666666667,74.5503492657951,35.8768465948756,73.55270792159,36.8915746798029
Tibet,Namcha Barwa,7782,7180,6032,29.6305555555556,95.0552777777778,94.3084881900184,30.2770435403562,94.3084881900184,30.2770435403562
Uttaranchal,Kamet,7756,6738,4286,30.92,79.5933333333333,79.4864370377573,30.6606790801422,79.6246773120428,30.629148960803
Pakistan,Tirich Mir,7708,6257,5484,36.2458333333333,71.8438888888889,71.0068967041651,36.9157804501047,71.0068967041651,36.9157804501047
Xinjiang,Kongur Tagh,7649,6075,5301,38.5938888888889,75.3133333333333,75.4724571724454,38.8420928838498,74.4801388164296,39.2378599724766
Bhutan,Gangkhar Puensum,7570,5776,3074,28.0469444444444,90.455,90.2345832928197,27.9277007995651,90.6720236949176,28.2119496455619
Sichuan,Mount Gongga,7556,5927,4985,29.5958333333333,101.879166666667,101.234076783842,30.1567957647112,101.234076783842,30.1567957647112
Tadzhikistan,Ismoil Somoni Peak,7495,5529,4397,38.9427777777778,72.0152777777778,71.144537068067,39.61264258208,71.144537068067,39.61264258208
Pakistan,Noshaq,7492,6001,4770,36.4330555555556,71.8283333333333,70.9924821406307,37.098748504711,71.9416998238243,36.2049571757745
