Continent,state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
ASIA-TEMPERATE,Tibet,Mount Everest,8849,8568,6468,27.9880555555556,86.925,87.0628709434479,27.6482815645358,87.2255070997307,27.8285039979063
ASIA-TROPICAL,Jammu-Kashmir,K2,8611,5663,4317,35.8811111111111,76.5133333333333,76.4192903078021,35.6646352098212,76.4578348272416,35.8246346771803
ASIA-TROPICAL,Nepal,Kangchenjunga,8586,8208,6513,27.7013888888889,88.1404152777778,87.2583740085933,28.4780181328061,87.2583740085933,28.4780181328061
ASIA-TROPICAL,Nepal,Dhaulagiri,8167,7485,6788,28.6966666666667,83.49,82.6469220126576,29.4333968679301,82.6469220126576,29.4333968679301
ASIA-TROPICAL,Nepal,Manaslu,8163,7861,7157,28.55,84.5597222222222,83.7176466884973,29.2865804345779,83.7176466884973,29.2865804345779
ASIA-TROPICAL,Jammu-Kashmir,Nanga Parbat,8125,7153,7063,35.2391666666667,74.59,73.7060683595752,35.9548044773647,73.7060683595752,35.9548044773647
ASIA-TROPICAL,Nepal,Annapurna,8091,6749,5709,28.5961111111111,83.8238888888889,84.0321146979089,28.3493069273783,83.7335662309483,28.5953142334032
ASIA-TEMPERATE,Tibet,Shishapangma,8027,7415,4457,28.3522222222222,85.7797222222222,84.9523927956322,29.0778276063379,84.9523927956322,29.0778276063379
ASIA-TROPICAL,Jammu-Kashmir,Disteghil Sar,7885,6076,5226,36.3258333333333,75.1880555555556,74.3318258532283,37.0103223323109,74.9770148102292,36.3035236825467
ASIA-TROPICAL,Uttaranchal,Nanda Devi,7816,7087,5222,30.3738888888889,79.9708333333333,80.1721618519006,30.1045128671849,79.7387170182304,30.2262423154008
ASIA-TROPICAL,Jammu-Kashmir,Batura Sar,7795,6322,5549,36.51,74.5225,74.4050557693432,36.2548648366272,74.644437900623,36.3539908300096
ASIA-TROPICAL,Jammu-Kashmir,Rakaposhi,7788,6580,6346,36.1425,74.4891666666667,74.5485780680809,35.8776586095541,73.6357863196997,36.8254141287141
ASIA-TEMPERATE,Tibet,Namcha Barwa,7782,7180,6032,29.6305555555556,95.0552777777778,94.2481012086315,30.3283818872195,95.1546016958335,29.5639846342125
ASIA-TROPICAL,Uttaranchal,Kamet,7756,6738,4286,30.92,79.5933333333333,79.4884200810828,30.6601394928488,79.5404790556079,30.86311963139
ASIA-TROPICAL,Pakistan,Tirich Mir,7708,6257,5484,36.2458333333333,71.8438888888889,70.9992097066608,36.9208634098109,71.9465833179285,36.2073532777903
ASIA-TEMPERATE,Xinjiang,Kongur Tagh,7649,6075,5301,38.5938888888889,75.3133333333333,75.4733550864121,38.8315522190244,74.4956647476924,39.2274292233709
ASIA-TROPICAL,Bhutan,Gangkhar Puensum,7570,5776,3074,28.0469444444444,90.455,90.2321632508264,27.9187633760027,89.6751311031917,28.7333550401972
